epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1585.18,1.25205,0.66552,1.10004,0.75674,0.68874,0.75697,0.40146,1.43015,0.75464,1.24012,0.00900844,0.00900844,0.00900844
43,1622.79,1.2543,0.66321,1.0988,0.77212,0.68446,0.76233,0.40645,1.43945,0.75002,1.24009,0.00896127,0.00896127,0.00896127
44,1660.5,1.25378,0.66309,1.10003,0.79637,0.68372,0.7667,0.40835,1.43219,0.75146,1.23722,0.00891313,0.00891313,0.00891313
45,1698.26,1.24623,0.65956,1.0937,0.77219,0.69125,0.76673,0.41251,1.41747,0.74471,1.22869,0.00886404,0.00886404,0.00886404
46,1736.09,1.24612,0.65597,1.09489,0.78488,0.68096,0.76679,0.41301,1.42255,0.74737,1.23201,0.00881401,0.00881401,0.00881401
47,1773.83,1.2365,0.6525,1.08958,0.76983,0.68207,0.75387,0.40742,1.4242,0.74806,1.23118,0.00876305,0.00876305,0.00876305
48,1811.53,1.23952,0.65057,1.0917,0.78204,0.69398,0.76592,0.41016,1.42836,0.74033,1.22794,0.00871117,0.00871117,0.00871117
49,1849.26,1.24072,0.64846,1.08826,0.77542,0.70972,0.76769,0.40978,1.43437,0.74283,1.23409,0.00865839,0.00865839,0.00865839
50,1886.95,1.23215,0.64518,1.09107,0.77576,0.70549,0.76646,0.41125,1.41655,0.73528,1.2274,0.00860473,0.00860473,0.00860473
51,1924.64,1.22862,0.64112,1.0872,0.79735,0.68914,0.76695,0.40551,1.43251,0.7439,1.23095,0.00855018,0.00855018,0.00855018
52,1962.28,1.22958,0.63802,1.0843,0.78741,0.69522,0.77283,0.41344,1.41787,0.7349,1.22666,0.00849477,0.00849477,0.00849477
53,2000.2,1.22661,0.64053,1.0888,0.78799,0.69912,0.77956,0.41973,1.41813,0.72986,1.22704,0.00843851,0.00843851,0.00843851
54,2037.98,1.22905,0.63896,1.08469,0.79018,0.68344,0.77019,0.41166,1.43535,0.73947,1.23641,0.00838141,0.00838141,0.00838141
