epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1351.51,1.3282,0.73966,1.12248,0.76687,0.66285,0.73687,0.38216,1.46696,0.81414,1.23622,0.00900844,0.00900844,0.00900844
43,1383.61,1.33244,0.74084,1.12046,0.78454,0.65326,0.73709,0.38455,1.46593,0.8116,1.24042,0.00896127,0.00896127,0.00896127
44,1415.8,1.32966,0.73929,1.11965,0.77063,0.65881,0.73347,0.38382,1.45888,0.80614,1.23344,0.00891313,0.00891313,0.00891313
45,1447.98,1.32322,0.7331,1.1144,0.75882,0.66343,0.74121,0.38728,1.44515,0.79695,1.22822,0.00886404,0.00886404,0.00886404
46,1480.18,1.32184,0.73286,1.11534,0.75559,0.6681,0.73535,0.38652,1.44956,0.79594,1.23024,0.00881401,0.00881401,0.00881401
47,1512.38,1.31432,0.72935,1.11131,0.74292,0.67201,0.72946,0.38455,1.44132,0.79582,1.229,0.00876305,0.00876305,0.00876305
48,1544.68,1.31385,0.72625,1.11037,0.761,0.66444,0.73161,0.38678,1.44161,0.79075,1.2261,0.00871117,0.00871117,0.00871117
49,1576.95,1.31652,0.72303,1.10603,0.78385,0.66351,0.74246,0.38884,1.44947,0.79463,1.22889,0.00865839,0.00865839,0.00865839
50,1609.13,1.30723,0.7186,1.10961,0.76158,0.65708,0.73116,0.38379,1.45764,0.79501,1.23401,0.00860473,0.00860473,0.00860473
51,1641.36,1.30208,0.7139,1.10568,0.77808,0.6629,0.74135,0.38838,1.46063,0.79213,1.23148,0.00855018,0.00855018,0.00855018
52,1673.52,1.30339,0.71229,1.10223,0.78152,0.6721,0.74566,0.39393,1.44412,0.79098,1.2235,0.00849477,0.00849477,0.00849477
53,1705.78,1.30247,0.7147,1.10677,0.78325,0.66171,0.74394,0.39534,1.43979,0.79385,1.22156,0.00843851,0.00843851,0.00843851
54,1738.01,1.30398,0.71197,1.1015,0.79342,0.6731,0.74957,0.39608,1.43748,0.78381,1.2191,0.00838141,0.00838141,0.00838141
55,1770.35,1.2986,0.70945,1.09942,0.77799,0.67137,0.74723,0.39455,1.43542,0.7785,1.2163,0.00832349,0.00832349,0.00832349
56,1802.54,1.29394,0.70598,1.1,0.76311,0.67197,0.74358,0.39596,1.43765,0.78116,1.21953,0.00826477,0.00826477,0.00826477
57,1834.75,1.2923,0.70211,1.09348,0.78322,0.66416,0.74231,0.39264,1.43465,0.78003,1.21436,0.00820525,0.00820525,0.00820525
58,1866.92,1.29115,0.70484,1.09565,0.76588,0.66159,0.74002,0.39314,1.4408,0.78245,1.21736,0.00814495,0.00814495,0.00814495
59,1899.16,1.28506,0.69919,1.0932,0.76047,0.67795,0.74617,0.4015,1.42921,0.7732,1.21331,0.00808389,0.00808389,0.00808389
60,1931.52,1.27909,0.69457,1.09133,0.76524,0.66781,0.74168,0.39268,1.43893,0.77521,1.21746,0.00802208,0.00802208,0.00802208
61,1963.63,1.28549,0.69567,1.09303,0.76787,0.67741,0.74734,0.39654,1.43509,0.77541,1.21362,0.00795954,0.00795954,0.00795954
62,1995.74,1.28163,0.69579,1.0922,0.77684,0.67368,0.7496,0.39697,1.4352,0.77154,1.21602,0.00789628,0.00789628,0.00789628
63,2027.9,1.28133,0.6905,1.08992,0.77503,0.67681,0.74635,0.39399,1.43513,0.77259,1.21627,0.00783231,0.00783231,0.00783231
64,2060.06,1.27686,0.69004,1.08747,0.77089,0.69075,0.74891,0.3918,1.4484,0.77538,1.21999,0.00776766,0.00776766,0.00776766
65,2092.23,1.27262,0.68667,1.0861,0.77587,0.68391,0.74672,0.39265,1.44751,0.77516,1.21936,0.00770234,0.00770234,0.00770234
66,2124.4,1.27001,0.68689,1.08693,0.78311,0.68237,0.75436,0.396,1.44465,0.77004,1.21816,0.00763637,0.00763637,0.00763637
67,2156.7,1.27566,0.68669,1.08548,0.78985,0.6751,0.75688,0.39645,1.44115,0.77066,1.21636,0.00756976,0.00756976,0.00756976
68,2189.01,1.27326,0.68361,1.08352,0.78036,0.68323,0.75326,0.39416,1.44337,0.77066,1.21846,0.00750252,0.00750252,0.00750252
69,2221.25,1.27227,0.68454,1.08329,0.77674,0.6766,0.75007,0.39346,1.44191,0.76997,1.21782,0.00743468,0.00743468,0.00743468
70,2253.51,1.26402,0.68054,1.0828,0.79275,0.66905,0.75098,0.39452,1.43571,0.76438,1.21533,0.00736625,0.00736625,0.00736625
71,2285.85,1.26173,0.6793,1.07872,0.79195,0.66681,0.75428,0.39581,1.43299,0.76408,1.21167,0.00729725,0.00729725,0.00729725
72,2318.04,1.25916,0.67842,1.07905,0.76049,0.67541,0.75089,0.39476,1.43724,0.76485,1.2126,0.0072277,0.0072277,0.0072277
73,2350.31,1.25975,0.6786,1.07551,0.7642,0.67953,0.75098,0.3929,1.43855,0.7671,1.21311,0.00715761,0.00715761,0.00715761
74,2382.55,1.26712,0.68397,1.0771,0.7486,0.68333,0.74739,0.39328,1.44161,0.77017,1.21358,0.007087,0.007087,0.007087
75,2414.62,1.25682,0.68001,1.07083,0.74975,0.68859,0.7478,0.39285,1.4413,0.76771,1.21276,0.00701588,0.00701588,0.00701588
76,2446.87,1.26775,0.68196,1.07466,0.75128,0.69579,0.75425,0.39547,1.43937,0.77023,1.21152,0.00694428,0.00694428,0.00694428
77,2479.15,1.25986,0.68046,1.07348,0.75168,0.68088,0.75157,0.39607,1.43337,0.77172,1.20764,0.00687222,0.00687222,0.00687222
78,2511.39,1.26197,0.68153,1.07151,0.74715,0.68821,0.74799,0.39522,1.4382,0.77085,1.20752,0.0067997,0.0067997,0.0067997
79,2543.59,1.26236,0.68039,1.06801,0.75507,0.68409,0.7485,0.3932,1.44473,0.7719,1.21027,0.00672675,0.00672675,0.00672675
80,2575.96,1.25958,0.67861,1.06445,0.76236,0.68026,0.74917,0.39469,1.44625,0.77365,1.21109,0.00665339,0.00665339,0.00665339
81,2608.24,1.26425,0.68038,1.0654,0.75278,0.69264,0.74811,0.39526,1.44737,0.7734,1.20964,0.00657963,0.00657963,0.00657963
82,2640.39,1.26193,0.68408,1.06536,0.76141,0.68405,0.74622,0.39158,1.44926,0.77587,1.20926,0.0065055,0.0065055,0.0065055
83,2672.54,1.25735,0.68225,1.06175,0.76447,0.68464,0.74748,0.3925,1.44866,0.77601,1.20797,0.00643101,0.00643101,0.00643101
84,2704.77,1.2577,0.67885,1.05608,0.76855,0.67542,0.7402,0.39355,1.44706,0.7755,1.20576,0.00635617,0.00635617,0.00635617
85,2737.03,1.25541,0.67668,1.05754,0.76921,0.68027,0.74281,0.39359,1.44496,0.77549,1.20449,0.00628101,0.00628101,0.00628101
86,2769.4,1.25656,0.67492,1.0567,0.77011,0.68345,0.74709,0.39349,1.44755,0.77524,1.20543,0.00620555,0.00620555,0.00620555
87,2801.66,1.25237,0.6725,1.0561,0.77266,0.67811,0.74721,0.39369,1.44875,0.77511,1.2051,0.00612981,0.00612981,0.00612981
88,2833.83,1.25213,0.67338,1.05572,0.77241,0.6805,0.74817,0.39341,1.44888,0.77477,1.20488,0.0060538,0.0060538,0.0060538
89,2866.1,1.24783,0.66922,1.05108,0.76747,0.6823,0.7457,0.3947,1.44812,0.77383,1.20383,0.00597754,0.00597754,0.00597754
90,2898.36,1.24433,0.66893,1.05035,0.78024,0.67879,0.74779,0.39504,1.4468,0.77528,1.20271,0.00590105,0.00590105,0.00590105
91,2930.54,1.24313,0.6676,1.04996,0.78413,0.68076,0.74846,0.3946,1.44884,0.77548,1.20288,0.00582435,0.00582435,0.00582435
92,2962.86,1.23737,0.66595,1.04835,0.77403,0.68299,0.74592,0.39494,1.44887,0.77407,1.20233,0.00574746,0.00574746,0.00574746
93,2995.09,1.23884,0.66352,1.04898,0.76893,0.68714,0.74994,0.39512,1.44926,0.77303,1.20173,0.0056704,0.0056704,0.0056704
