epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1471.27,1.25356,0.66499,1.10312,0.77683,0.69601,0.76792,0.40675,1.4377,0.75517,1.24001,0.00900844,0.00900844,0.00900844
43,1506.15,1.256,0.6641,1.10361,0.77785,0.70637,0.77268,0.41165,1.42082,0.74557,1.2341,0.00896127,0.00896127,0.00896127
44,1541.38,1.25568,0.66228,1.10433,0.76121,0.69926,0.76203,0.40858,1.41392,0.7486,1.23328,0.00891313,0.00891313,0.00891313
45,1576.26,1.24848,0.65875,1.09787,0.79265,0.70308,0.7766,0.41065,1.41984,0.74492,1.2348,0.00886404,0.00886404,0.00886404
46,1611.17,1.24797,0.65987,1.09932,0.7943,0.69789,0.77404,0.41672,1.40491,0.73766,1.23094,0.00881401,0.00881401,0.00881401
47,1646.21,1.24047,0.65365,1.09597,0.78689,0.69065,0.76539,0.40717,1.41979,0.74205,1.23442,0.00876305,0.00876305,0.00876305
48,1681.02,1.24334,0.65321,1.09622,0.7825,0.69759,0.76848,0.40723,1.42377,0.74017,1.23475,0.00871117,0.00871117,0.00871117
49,1715.93,1.24325,0.65068,1.09227,0.79374,0.7142,0.78127,0.42153,1.39945,0.7378,1.22509,0.00865839,0.00865839,0.00865839
50,1750.92,1.23617,0.64576,1.09641,0.79629,0.69815,0.77448,0.41097,1.41258,0.73417,1.23226,0.00860473,0.00860473,0.00860473
51,1785.78,1.22983,0.64064,1.0899,0.79285,0.70346,0.77199,0.41118,1.41611,0.73496,1.23064,0.00855018,0.00855018,0.00855018
52,1820.87,1.22996,0.63883,1.087,0.79334,0.71385,0.77891,0.41534,1.41538,0.73294,1.23239,0.00849477,0.00849477,0.00849477
53,1855.73,1.23073,0.64292,1.09401,0.78468,0.72295,0.7854,0.42316,1.40393,0.72586,1.22596,0.00843851,0.00843851,0.00843851
54,1890.75,1.23194,0.63965,1.08746,0.79509,0.71934,0.77967,0.41832,1.41257,0.72699,1.23188,0.00838141,0.00838141,0.00838141
55,1925.77,1.2249,0.63691,1.08615,0.78415,0.71793,0.77747,0.41857,1.40103,0.71663,1.22347,0.00832349,0.00832349,0.00832349
56,1960.65,1.22513,0.63585,1.08825,0.78858,0.70377,0.77839,0.4168,1.40412,0.7271,1.22595,0.00826477,0.00826477,0.00826477
57,1995.42,1.2192,0.63069,1.07976,0.78206,0.72125,0.77668,0.41761,1.40702,0.72309,1.22889,0.00820525,0.00820525,0.00820525
58,2030.52,1.21865,0.63193,1.08226,0.78426,0.71826,0.7795,0.41921,1.40251,0.72111,1.22684,0.00814495,0.00814495,0.00814495
59,2065.34,1.21351,0.62737,1.08041,0.78402,0.72315,0.78525,0.41814,1.41607,0.7215,1.2349,0.00808389,0.00808389,0.00808389
60,2100.46,1.20786,0.62103,1.07852,0.77602,0.72362,0.78009,0.41782,1.40976,0.71962,1.23166,0.00802208,0.00802208,0.00802208
61,2135.38,1.21313,0.62198,1.08084,0.79937,0.71699,0.783,0.41921,1.40956,0.7173,1.23304,0.00795954,0.00795954,0.00795954
62,2170.28,1.20877,0.62258,1.07957,0.7873,0.71877,0.77911,0.41749,1.40791,0.71718,1.2305,0.00789628,0.00789628,0.00789628
63,2205.43,1.21058,0.61976,1.0771,0.78061,0.7211,0.77945,0.41762,1.41298,0.71792,1.23231,0.00783231,0.00783231,0.00783231
64,2240.28,1.20706,0.61861,1.07716,0.77026,0.72245,0.78117,0.41639,1.41389,0.72002,1.23164,0.00776766,0.00776766,0.00776766
65,2275.25,1.19974,0.61391,1.07395,0.803,0.7048,0.78234,0.41732,1.41415,0.71435,1.23524,0.00770234,0.00770234,0.00770234
66,2310.19,1.20003,0.61653,1.07593,0.80691,0.70524,0.78315,0.41875,1.41759,0.71635,1.23536,0.00763637,0.00763637,0.00763637
67,2345.02,1.20288,0.61401,1.07324,0.79804,0.70181,0.78295,0.41739,1.4237,0.71647,1.23777,0.00756976,0.00756976,0.00756976
